id	lang	idiom	type	core	feature	value	source	page	exception	comment	contributor
1	Akhvakh			yes	Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
2	Andi			yes	Voiced uvular	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
3	Bagvalal			yes	Voiced uvular	not attested	kibrik2001				George Moroz, Violetta Ivanova
4	Botlikh			yes	Voiced uvular	not attested	alexeyevverhees2020				George Moroz, Violetta Ivanova
5	Chamalal			yes	Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
6	Godoberi			yes	Voiced uvular	not attested	kibriketal1996				George Moroz, Violetta Ivanova
7	Karata			yes	Voiced uvular	not attested	magomedbekova1971				George Moroz, Violetta Ivanova
8	Tindi			yes	Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
9	Armenian			yes	Voiced uvular	not attested	dum-tragut2009				George Moroz, Violetta Ivanova
10	Avar			yes	Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
11	Dargwa			yes	Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
12	Khinalug			yes	Voiced uvular	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
13	Kumyk			yes	Voiced uvular	not attested	dmitriev1940				George Moroz, Violetta Ivanova
14	Nogai			yes	Voiced uvular	not attested	baskakov1940				George Moroz, Violetta Ivanova
15	Lak			yes	Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
16	Agul			yes	Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
17	Archi			yes	Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
18	Budukh			yes	Voiced uvular	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
19	Kryz			yes	Voiced uvular	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
20	Lezgian			yes	Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
21	Rutul			yes	Voiced uvular	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
22	Tabasaran			yes	Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
23	Tsakhur			yes	Voiced uvular	attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
24	Udi			yes	Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
25	Bats			yes	Voiced uvular	not attested	?				George Moroz, Violetta Ivanova
26	Chechen			yes	Voiced uvular	not attested	nichols1994				George Moroz, Violetta Ivanova
27	Ingush			yes	Voiced uvular	not attested	nichols2011				George Moroz, Violetta Ivanova
28	Bezhta			yes	Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
29	Hinuq			yes	Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
30	Hunzib			yes	Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
31	Tsez			yes	Voiced uvular	not attested	kibrikkodzasov1990				George Moroz, Violetta Ivanova
32	Khwvarshi			yes	Voiced uvular	not attested	khalilova2009				George Moroz, Violetta Ivanova
33	North Azerbaijani			yes	Voiced uvular	not attested	shiralievsevortyan1971				George Moroz, Violetta Ivanova
